StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q5_1,Q5_2,Q5_3,Q5_4,Q1439,Q610,Q611,Q611_5_TEXT,Q612,Q612_4_TEXT,Q613,Q1430,Q617,Q617_7_TEXT,Q619,Q620_4,1000,1,2,3,4,5,6,7,8,9,10,11,12,13,1020,14,15,16,17,18,19,20,21,22,23,24,25,26,1000,1,2,3,4,5,6,7,8,9,10,11,12,13,1020,14,15,16,17,18,19,20,21,22,23,24,25,26,Q1440,Q621,IP_block,IP_country,Condition,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25,pair26
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Q5 - I am age 18 or older.,Q5 - I am currently living in the US.,Q5 - I have read and understand the information above.,Q5 - I want to participate in this research and continue with the survey.,"For some reason, we were still unable to verify your country location. We ask you to please assist us in getting this protocol correct. Please enter your mTurk worker ID below and contact the requester for this HIT to report the problem. Once you click next you will be taken to the survey (and certifying that you are taking this survey from the U.S. and not using a VPS). WE will be checking locations manually for those who reach this point and you will be contacted if this check identifies you as violating these requirements.",What is your age (please only use number of years)?,What gender do you identify with? - Selected Choice,What gender do you identify with? - Other (please specify) - Text,What is your party affiliation? - Selected Choice,What is your party affiliation? - Other party (please specify) - Text,How strongly do you identify with your party?,How engaged are you in politics?,What is the highest level of education you have received? - Selected Choice,What is the highest level of education you have received? - Other (please specify) - Text,Did you vote in the most recent presidential election?,What percent of your close friends and family share your political affiliation?,"For each word, imagine you were watching a congressional debate on C-Span and you heard that word. Please guess whether the word you heard was spoken by a [Field-Condition].",[Field-pair1],[Field-pair2],[Field-pair3],[Field-pair4],[Field-pair5],[Field-pair6],[Field-pair7],[Field-pair8],[Field-pair9],[Field-pair10],[Field-pair11],[Field-pair12],[Field-pair13],"For each word, imagine you were watching a congressional debate on C-Span and you heard that word. Please guess whether the word you heard was spoken by a [Field-Condition].",[Field-pair14],[Field-pair15],[Field-pair16],[Field-pair17],[Field-pair18],[Field-pair19],[Field-pair20],[Field-pair21],[Field-pair22],[Field-pair23],[Field-pair24],[Field-pair25],[Field-pair26],"For each word, imagine you were watching a congressional debate on C-Span and you heard that word. Please guess whether the word you heard was spoken by a [Field-Condition].",[Field-pair1],[Field-pair2],[Field-pair3],[Field-pair4],[Field-pair5],[Field-pair6],[Field-pair7],[Field-pair8],[Field-pair9],[Field-pair10],[Field-pair11],[Field-pair12],[Field-pair13],"For each word, imagine you were watching a congressional debate on C-Span and you heard that word. Please guess whether the word you heard was spoken by a [Field-Condition].",[Field-pair14],[Field-pair15],[Field-pair16],[Field-pair17],[Field-pair18],[Field-pair19],[Field-pair20],[Field-pair21],[Field-pair22],[Field-pair23],[Field-pair24],[Field-pair25],[Field-pair26],Were you paying attention during this survey?,"Please use the space below to mention any thoughts you have related to the experiment, or anything you would like the experimenters to know.",IP_block,IP_country,Condition,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25,pair26
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID1435_TEXT""}","{""ImportId"":""QID610_TEXT""}","{""ImportId"":""QID611""}","{""ImportId"":""QID611_5_TEXT""}","{""ImportId"":""QID612""}","{""ImportId"":""QID612_4_TEXT""}","{""ImportId"":""QID613""}","{""ImportId"":""QID1430""}","{""ImportId"":""QID617""}","{""ImportId"":""QID617_7_TEXT""}","{""ImportId"":""QID619""}","{""ImportId"":""QID620_4""}","{""ImportId"":""QID1024""}","{""ImportId"":""QID1025""}","{""ImportId"":""QID1026""}","{""ImportId"":""QID1027""}","{""ImportId"":""QID1028""}","{""ImportId"":""QID1029""}","{""ImportId"":""QID1030""}","{""ImportId"":""QID1031""}","{""ImportId"":""QID1032""}","{""ImportId"":""QID1033""}","{""ImportId"":""QID1034""}","{""ImportId"":""QID1035""}","{""ImportId"":""QID1036""}","{""ImportId"":""QID1037""}","{""ImportId"":""QID1045""}","{""ImportId"":""QID1038""}","{""ImportId"":""QID1039""}","{""ImportId"":""QID1040""}","{""ImportId"":""QID1041""}","{""ImportId"":""QID1042""}","{""ImportId"":""QID1043""}","{""ImportId"":""QID1044""}","{""ImportId"":""QID1046""}","{""ImportId"":""QID1047""}","{""ImportId"":""QID1048""}","{""ImportId"":""QID1049""}","{""ImportId"":""QID1050""}","{""ImportId"":""QID1431""}","{""ImportId"":""QID1226""}","{""ImportId"":""QID1227""}","{""ImportId"":""QID1228""}","{""ImportId"":""QID1229""}","{""ImportId"":""QID1230""}","{""ImportId"":""QID1231""}","{""ImportId"":""QID1232""}","{""ImportId"":""QID1233""}","{""ImportId"":""QID1234""}","{""ImportId"":""QID1235""}","{""ImportId"":""QID1236""}","{""ImportId"":""QID1237""}","{""ImportId"":""QID1238""}","{""ImportId"":""QID1239""}","{""ImportId"":""QID1247""}","{""ImportId"":""QID1240""}","{""ImportId"":""QID1241""}","{""ImportId"":""QID1242""}","{""ImportId"":""QID1243""}","{""ImportId"":""QID1244""}","{""ImportId"":""QID1245""}","{""ImportId"":""QID1246""}","{""ImportId"":""QID1248""}","{""ImportId"":""QID1249""}","{""ImportId"":""QID1250""}","{""ImportId"":""QID1251""}","{""ImportId"":""QID1252""}","{""ImportId"":""QID1253""}","{""ImportId"":""QID1441_TEXT""}","{""ImportId"":""QID621_TEXT""}","{""ImportId"":""IP_block""}","{""ImportId"":""IP_country""}","{""ImportId"":""Condition""}","{""ImportId"":""pair1""}","{""ImportId"":""pair2""}","{""ImportId"":""pair3""}","{""ImportId"":""pair4""}","{""ImportId"":""pair5""}","{""ImportId"":""pair6""}","{""ImportId"":""pair7""}","{""ImportId"":""pair8""}","{""ImportId"":""pair9""}","{""ImportId"":""pair10""}","{""ImportId"":""pair11""}","{""ImportId"":""pair12""}","{""ImportId"":""pair13""}","{""ImportId"":""pair14""}","{""ImportId"":""pair15""}","{""ImportId"":""pair16""}","{""ImportId"":""pair17""}","{""ImportId"":""pair18""}","{""ImportId"":""pair19""}","{""ImportId"":""pair20""}","{""ImportId"":""pair21""}","{""ImportId"":""pair22""}","{""ImportId"":""pair23""}","{""ImportId"":""pair24""}","{""ImportId"":""pair25""}","{""ImportId"":""pair26""}"
4/8/19 10:04,4/8/19 10:06,IP Address,100,119,TRUE,4/8/19 10:06,anonymous,EN,Yes,Yes,Yes,Yes,,34,Female,-99,Independent,-99,4,3,Bachelor's degree,-99,No,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,-99,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am almost certain the speaker is a Republican.,ATTENTION,-99,0,United States,Democrat or by a Republican,complete,prosperity,employees,contribute,principles,attack,recognize,fear,respond,profit,possibly,happy,monetary,types,finish,illegal,spoke,reforms,mom,duty,walls,announced,excessive,conversation,preserve,fundamental
4/8/19 10:03,4/8/19 10:06,IP Address,100,138,TRUE,4/8/19 10:06,anonymous,EN,Yes,Yes,Yes,Yes,,42,Male,-99,Republican,-99,5,4,Bachelor's degree,-99,Yes,70,-99,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENTION,-99,0,United States,Republican or by a Democrat,comprehensive,wealth,workers,give,values,assault,acknowledge,terror,answer,gain,possibly,glad,monetary,kinds,finish,criminal,talked,changes,mother,responsibility,barriers,indicated,excessive,discussion,maintain,basic
4/8/19 10:03,4/8/19 10:06,IP Address,100,157,TRUE,4/8/19 10:06,anonymous,EN,Yes,Yes,Yes,Yes,,49,Male,-99,Democrat,-99,7 (very much),6,Master's degree,-99,Yes,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,-99,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am almost certain the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,yes,just that anything negative is usually Republican and vice versa,0,United States,Republican or by a Democrat,complete,prosperity,employees,contribute,principles,attack,recognize,fear,respond,profit,potentially,happy,financial,types,end,illegal,spoke,reforms,mom,duty,walls,announced,outrageous,conversation,preserve,fundamental
4/8/19 10:05,4/8/19 10:07,IP Address,100,115,TRUE,4/8/19 10:07,anonymous,EN,Yes,Yes,Yes,Yes,,28,Male,-99,Democrat,-99,4,5,High school,-99,Yes,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,-99,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,ATTENTION,-99,0,United States,Democrat or by a Republican,comprehensive,wealth,employees,contribute,principles,assault,recognize,fear,respond,profit,possibly,happy,financial,kinds,end,criminal,talked,changes,mom,responsibility,barriers,announced,excessive,discussion,preserve,basic
4/8/19 10:03,4/8/19 10:07,IP Address,100,194,TRUE,4/8/19 10:07,anonymous,EN,Yes,Yes,Yes,Yes,,34,Male,-99,Independent,-99,6,5,High school,-99,No,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,ATTENTION,-99,0,United States,Democrat or by a Republican,complete,wealth,employees,contribute,values,attack,acknowledge,terror,answer,profit,possibly,happy,monetary,kinds,finish,criminal,talked,changes,mother,responsibility,barriers,indicated,excessive,conversation,preserve,fundamental
4/8/19 10:05,4/8/19 10:07,IP Address,100,110,TRUE,4/8/19 10:07,anonymous,EN,Yes,Yes,Yes,Yes,,24,Female,-99,Republican,-99,1 (very little),2,Some college (no degree),-99,Yes,80,-99,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,-99,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENTION,Thanks for a great task!,0,United States,Democrat or by a Republican,comprehensive,wealth,employees,give,values,assault,acknowledge,fear,answer,gain,potentially,happy,monetary,kinds,finish,criminal,spoke,reforms,mom,duty,walls,announced,outrageous,conversation,preserve,basic
4/8/19 10:05,4/8/19 10:07,IP Address,100,134,TRUE,4/8/19 10:07,anonymous,EN,Yes,Yes,Yes,Yes,,28,Male,-99,Independent,-99,1 (very little),1 (not at all),Bachelor's degree,-99,No,29,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENTION,-99,0,United States,Republican or by a Democrat,complete,prosperity,workers,give,values,attack,acknowledge,terror,answer,gain,potentially,glad,monetary,types,finish,illegal,spoke,reforms,mother,duty,walls,indicated,outrageous,conversation,maintain,fundamental
4/8/19 10:04,4/8/19 10:07,IP Address,100,195,TRUE,4/8/19 10:07,anonymous,EN,Yes,Yes,Yes,Yes,,29,Male,-99,Independent,-99,4,4,High school,-99,No,50,-99,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am almost certain the speaker is a Republican.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am almost certain the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am almost certain the speaker is a Republican.,-99,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,I am unsure but think that the speaker is a Democrat.,I am unsure but think that the speaker is a Democrat.,I am reasonably sure the speaker is a Democrat.,I am reasonably sure the speaker is a Republican.,I am reasonably sure the speaker is a Republican.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENTION,-99,0,United States,Republican or by a Democrat,comprehensive,prosperity,workers,give,principles,assault,recognize,fear,respond,gain,potentially,glad,financial,types,end,illegal,spoke,reforms,mom,duty,walls,announced,outrageous,discussion,maintain,basic
